"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IDEA","EQ","10-Dec-2015","        133.80","        135.90","        135.90","        133.45","        135.80","        134.55","        134.39","    1869465","       2512.39","      14543","    1035027","         55.36"
"IDEA","EQ","11-Dec-2015","        134.55","        134.60","        135.25","        131.10","        131.75","        131.80","        132.19","    1761322","       2328.27","      16494","     911054","         51.73"
"IDEA","EQ","14-Dec-2015","        131.80","        132.00","        135.40","        130.20","        134.95","        134.90","        134.26","    2500407","       3357.16","      19025","    1438000","         57.51"
"IDEA","EQ","15-Dec-2015","        134.90","        133.55","        134.95","        129.10","        131.90","        131.90","        131.01","    4042465","       5296.07","      51737","    2008728","         49.69"
"IDEA","EQ","16-Dec-2015","        131.90","        133.45","        135.90","        132.10","        135.45","        134.95","        134.97","    3945296","       5325.04","      42975","    2423537","         61.43"
"IDEA","EQ","17-Dec-2015","        134.95","        136.00","        136.00","        132.50","        133.00","        133.75","        133.60","    3729800","       4982.96","      28976","    2592376","         69.50"
"IDEA","EQ","18-Dec-2015","        133.75","        133.90","        135.50","        133.00","        135.00","        135.00","        134.67","    3875661","       5219.34","      34292","    2148465","         55.43"
"IDEA","EQ","21-Dec-2015","        135.00","        134.95","        139.00","        133.55","        138.90","        138.20","        136.85","    2947954","       4034.19","      32207","    1444156","         48.99"
"IDEA","EQ","22-Dec-2015","        138.20","        138.90","        140.85","        137.30","        139.45","        139.35","        139.56","    5638108","       7868.33","      34863","    3296759","         58.47"
"IDEA","EQ","23-Dec-2015","        139.35","        140.20","        140.75","        139.10","        139.40","        139.70","        140.00","    2363692","       3309.28","      15090","    1493302","         63.18"
"IDEA","EQ","24-Dec-2015","        139.70","        142.40","        142.40","        139.50","        141.20","        141.20","        140.98","    2364123","       3332.92","      14899","     883845","         37.39"
"IDEA","EQ","28-Dec-2015","        141.20","        141.40","        141.60","        138.55","        140.00","        139.80","        139.75","    2843882","       3974.42","      15412","    1552203","         54.58"
"IDEA","EQ","29-Dec-2015","        139.80","        139.90","        141.90","        139.25","        140.90","        140.65","        140.43","    3479090","       4885.85","      23343","    2193791","         63.06"
"IDEA","EQ","30-Dec-2015","        140.65","        140.70","        141.80","        140.20","        141.05","        141.05","        141.07","    1554010","       2192.19","      13472","     921667","         59.31"
"IDEA","EQ","31-Dec-2015","        141.05","        142.00","        144.95","        139.75","        143.40","        143.65","        142.63","    4734579","       6752.86","      26929","    2638912","         55.74"
"IDEA","EQ","01-Jan-2016","        143.65","        142.95","        144.45","        142.20","        143.15","        143.20","        143.33","    1017096","       1457.80","       6030","     346052","         34.02"
"IDEA","EQ","04-Jan-2016","        143.20","        141.25","        142.40","        134.65","        136.20","        135.60","        137.17","    2764995","       3792.80","      41527","    1178495","         42.62"
"IDEA","EQ","05-Jan-2016","        135.60","        136.25","        138.00","        134.45","        135.50","        135.35","        136.57","    1940968","       2650.71","      25772","     737769","         38.01"
"IDEA","EQ","06-Jan-2016","        135.35","        135.50","        138.00","        133.80","        133.90","        134.50","        135.44","    3795030","       5140.00","      34777","    1642840","         43.29"
"IDEA","EQ","07-Jan-2016","        134.50","        133.65","        135.25","        131.05","        131.35","        133.40","        133.52","    3126079","       4173.98","      17096","    1297513","         41.51"
"IDEA","EQ","08-Jan-2016","        133.40","        132.05","        134.00","        131.55","        132.80","        133.10","        132.97","    1943579","       2584.34","      13372","     968844","         49.85"
"IDEA","EQ","11-Jan-2016","        133.10","        132.40","        132.55","        129.25","        130.20","        129.80","        130.03","    2888672","       3756.02","      22160","    1619176","         56.05"
"IDEA","EQ","12-Jan-2016","        129.80","        130.35","        130.85","        123.85","        124.45","        125.85","        126.68","    3284593","       4160.79","      33916","    1752497","         53.36"
"IDEA","EQ","13-Jan-2016","        125.85","        126.15","        127.40","        120.00","        121.35","        121.10","        123.09","    4216665","       5190.38","      32525","    1924621","         45.64"
"IDEA","EQ","14-Jan-2016","        121.10","        119.50","        121.80","        117.10","        119.00","        119.30","        119.48","    6472461","       7733.05","      49333","    4033633","         62.32"
"IDEA","EQ","15-Jan-2016","        119.30","        120.25","        121.90","        111.50","        112.60","        112.75","        116.46","    4673541","       5442.77","      35436","    2107017","         45.08"
"IDEA","EQ","18-Jan-2016","        112.75","        112.05","        113.45","        109.65","        110.90","        111.45","        111.00","    4136270","       4591.12","      23693","    2229219","         53.89"
"IDEA","EQ","19-Jan-2016","        111.45","        112.20","        117.95","        110.55","        116.70","        116.70","        114.59","    2423238","       2776.84","      18584","     839258","         34.63"
"IDEA","EQ","20-Jan-2016","        116.70","        115.65","        118.50","        112.20","        117.25","        117.55","        115.43","    4620708","       5333.51","      30840","    2592043","         56.10"
"IDEA","EQ","21-Jan-2016","        117.55","        118.50","        120.00","        113.15","        114.00","        113.95","        114.88","    5234627","       6013.58","      44366","    2027894","         38.74"
"IDEA","EQ","22-Jan-2016","        113.95","        113.95","        115.80","        105.50","        107.10","        106.85","        107.81","   16875423","      18193.88","      77686","    7512452","         44.52"
"IDEA","EQ","25-Jan-2016","        106.85","        108.00","        109.05","        104.75","        107.10","        106.95","        106.83","    6289093","       6718.94","      54128","    3057903","         48.62"
"IDEA","EQ","27-Jan-2016","        106.95","        107.30","        110.60","        106.30","        109.15","        109.50","        109.18","    8929049","       9748.79","      60065","    5557055","         62.24"
"IDEA","EQ","28-Jan-2016","        109.50","        108.50","        110.00","        104.05","        104.60","        104.60","        106.71","   10576731","      11286.77","      68419","    6877037","         65.02"
"IDEA","EQ","29-Jan-2016","        104.60","        105.20","        106.80","        102.30","        103.60","        103.15","        104.38","    5696060","       5945.46","      29222","    2489669","         43.71"
"IDEA","EQ","01-Feb-2016","        103.15","        104.05","        105.65","        103.40","        105.25","        105.10","        104.91","    5130401","       5382.09","      32376","    3291652","         64.16"
"IDEA","EQ","02-Feb-2016","        105.10","        105.00","        106.85","        103.20","        103.50","        104.05","        105.01","    6507830","       6833.65","      24802","    4352486","         66.88"
"IDEA","EQ","03-Feb-2016","        104.05","        102.75","        104.65","         99.75","        104.00","        103.50","        102.32","    4031354","       4124.87","      23307","    1851205","         45.92"
"IDEA","EQ","04-Feb-2016","        103.50","        105.00","        105.30","         99.15","        100.60","        100.00","        101.44","    4558239","       4623.75","      31686","    2077247","         45.57"
"IDEA","EQ","05-Feb-2016","        100.00","        100.90","        101.90","         99.80","        101.50","        101.40","        100.90","    3377108","       3407.51","      21206","    1580350","         46.80"
"IDEA","EQ","08-Feb-2016","        101.40","        101.50","        104.70","        101.45","        102.50","        102.05","        103.01","    2326758","       2396.70","      14106","     639951","         27.50"
"IDEA","EQ","09-Feb-2016","        102.05","        101.00","        103.45","        100.00","        102.40","        102.20","        102.38","    1762253","       1804.15","      11663","     466171","         26.45"
"IDEA","EQ","10-Feb-2016","        102.20","        104.90","        104.90","         97.20","        100.15","        100.05","        100.34","    3052983","       3063.28","      22042","    1061171","         34.76"
"IDEA","EQ","11-Feb-2016","        100.05","        100.10","        103.90","         98.80","        100.00","        101.15","        101.47","    5373953","       5452.92","      37061","    2577076","         47.95"
"IDEA","EQ","12-Feb-2016","        101.15","        101.70","        111.25","        100.20","        109.50","        109.65","        105.41","    6935469","       7310.43","      45977","    2994375","         43.17"
"IDEA","EQ","15-Feb-2016","        109.65","        109.50","        112.20","        107.20","        108.80","        109.20","        108.81","    4531720","       4931.11","      26806","    1588252","         35.05"
"IDEA","EQ","16-Feb-2016","        109.20","        111.50","        112.35","        104.75","        105.05","        105.15","        107.59","    3618269","       3893.08","      25128","    1101844","         30.45"
"IDEA","EQ","17-Feb-2016","        105.15","        104.20","        108.60","        103.50","        108.45","        108.00","        106.05","    2619288","       2777.87","      19303","     948811","         36.22"
"IDEA","EQ","18-Feb-2016","        108.00","        109.00","        109.40","        105.00","        106.70","        107.70","        107.11","    4073193","       4362.88","      21047","    2244887","         55.11"
"IDEA","EQ","19-Feb-2016","        107.70","        105.80","        110.00","        105.50","        108.20","        108.40","        108.46","    5041738","       5468.16","      32817","    2945139","         58.42"
